"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "Log", "SCSS", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\admin\admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\admin\admin.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\auth\auth.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\auth\auth.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\auth\auth.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\auth\auth.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\consumer\consumer.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\consumer\consumer.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\consumer\consumer.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\consumer\consumer.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\producer\producer.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\producer\producer.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\producer\producer.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\security\guards\producer\producer.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\shared\email-confirmation\email-confirmation.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\shared\email-confirmation\email-confirmation.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
